All vacancies1,Change on quarter,Percentage change,1 - 9 employed,10 - 49 employed,50 - 249 employed,"250 - 2,499 employed","2,500 + employed",year,start_mon_char,end_mon_char,start_mon,end_mon
680,,,139,101,86,145,209,2001,Apr,Jun,2001-04-01,2001-06-30
674,,,138,101,85,144,207,2001,May,Jul,2001-05-01,2001-07-31
663,,,135,100,83,143,203,2001,Jun,Aug,2001-06-01,2001-08-31
663,-17,-2.5,143,104,79,141,197,2001,Jul,Sep,2001-07-01,2001-09-30
639,-34,-5.1,136,100,74,139,191,2001,Aug,Oct,2001-08-01,2001-10-31
626,-36,-5.5,134,92,74,137,189,2001,Sep,Nov,2001-09-01,2001-11-30
601,-62,-9.4,122,82,72,134,190,2001,Oct,Dec,2001-10-01,2001-12-31
606,-33,-5.2,125,86,72,131,193,2002,Nov,,2002-11-01,
616,-10,-1.6,128,90,75,127,196,2002,Dec,Feb,2002-12-01,2002-02-28
619,18,2.9,130,90,74,129,196,2002,Jan,Mar,2002-01-01,2002-03-31
619,13,2.2,129,89,75,128,198,2002,Feb,Apr,2002-02-01,2002-04-30
613,-3,-0.5,128,87,67,128,203,2002,Mar,May,2002-03-01,2002-05-31
616,-3,-0.5,126,88,74,126,203,2002,Apr,Jun,2002-04-01,2002-06-30
611,-8,-1.3,124,84,73,128,202,2002,May,Jul,2002-05-01,2002-07-31
613,0,0,123,86,77,128,199,2002,Jun,Aug,2002-06-01,2002-08-31
609,-7,-1.1,116,87,74,129,204,2002,Jul,Sep,2002-07-01,2002-09-30
609,-2,-0.4,113,88,74,127,207,2002,Aug,Oct,2002-08-01,2002-10-31
608,-5,-0.9,113,89,73,129,204,2002,Sep,Nov,2002-09-01,2002-11-30
603,-7,-1.1,115,87,73,127,200,2002,Oct,Dec,2002-10-01,2002-12-31
602,-7,-1.1,118,86,75,127,196,2003,Nov,Jan,2003-11-01,2003-01-31
596,-12,-2,117,81,75,127,196,2003,Dec,Feb,2003-12-01,2003-02-28
593,-10,-1.6,111,82,76,127,196,2003,Jan,Mar,2003-01-01,2003-03-31
585,-17,-2.8,107,82,74,126,196,2003,Feb,Apr,2003-02-01,2003-04-30
589,-7,-1.1,110,82,73,125,199,2003,Mar,May,2003-03-01,2003-05-31
579,-14,-2.4,110,78,70,122,199,2003,Apr,Jun,2003-04-01,2003-06-30
574,-12,-2,102,80,71,121,200,2003,May,Jul,2003-05-01,2003-07-31
576,-13,-2.1,99,80,73,123,202,2003,Jun,Aug,2003-06-01,2003-08-31
592,13,2.3,102,83,75,125,208,2003,Jul,Sep,2003-07-01,2003-09-30
604,30,5.3,104,83,77,127,214,2003,Aug,Oct,2003-08-01,2003-10-31
610,34,5.8,101,85,77,126,220,2003,Sep,Nov,2003-09-01,2003-11-30
614,22,3.7,102,86,77,127,222,2003,Oct,Dec,2003-10-01,2003-12-31
613,9,1.6,107,83,75,127,222,2004,Nov,Jan,2004-11-01,2004-01-31
617,7,1.2,111,83,74,128,222,2004,Dec,Feb,2004-12-01,2004-02-29
624,10,1.5,114,83,75,128,225,2004,Jan,Mar,2004-01-01,2004-03-31
630,17,2.8,113,84,76,132,226,2004,Feb,Apr,2004-02-01,2004-04-30
637,20,3.2,107,84,78,137,232,2004,Mar,May,2004-03-01,2004-05-31
641,17,2.7,110,85,79,136,231,2004,Apr,Jun,2004-04-01,2004-06-30
652,22,3.5,115,86,81,135,235,2004,May,Jul,2004-05-01,2004-07-31
654,17,2.7,117,86,82,134,236,2004,Jun,Aug,2004-06-01,2004-08-31
654,14,2.1,115,85,84,133,237,2004,Jul,Sep,2004-07-01,2004-09-30
655,2,0.4,117,84,85,133,236,2004,Aug,Oct,2004-08-01,2004-10-31
658,4,0.6,120,84,85,135,234,2004,Sep,Nov,2004-09-01,2004-11-30
662,7,1.1,119,85,84,138,236,2004,Oct,Dec,2004-10-01,2004-12-31
661,7,1,114,87,84,137,238,2005,Nov,Jan,2005-11-01,2005-01-31
655,-2,-0.3,107,87,81,136,245,2005,Dec,Feb,2005-12-01,2005-02-28
644,-18,-2.7,106,86,75,133,244,2005,Jan,Mar,2005-01-01,2005-03-31
636,-26,-3.9,106,86,75,129,240,2005,Feb,Apr,2005-02-01,2005-04-30
642,-14,-2.1,112,88,77,131,234,2005,Mar,May,2005-03-01,2005-05-31
642,-2,-0.3,112,87,80,134,231,2005,Apr,Jun,2005-04-01,2005-06-30
633,-2,-0.4,112,84,76,131,231,2005,May,Jul,2005-05-01,2005-07-31
624,-18,-2.8,112,81,71,128,233,2005,Jun,Aug,2005-06-01,2005-08-31
622,-20,-3.1,115,78,70,126,232,2005,Jul,Sep,2005-07-01,2005-09-30
608,-25,-3.9,113,74,68,126,227,2005,Aug,Oct,2005-08-01,2005-10-31
606,-19,-3,109,77,70,124,226,2005,Sep,Nov,2005-09-01,2005-11-30
609,-13,-2.1,109,76,71,123,229,2005,Oct,Dec,2005-10-01,2005-12-31
615,6,1,103,83,74,125,229,2006,Nov,Jan,2006-11-01,2006-01-31
612,7,1.1,103,82,73,125,230,2006,Dec,Feb,2006-12-01,2006-02-28
