Mon,All vacancies1,1 - 9 employed,10 - 49 employed,50 - 249 employed,"250 - 2,499 employed","2,500 + employed"
01/06/2001,692.0,146.0,107.0,91.0,144,205.0
01/07/2001,670.0,146.0,94.0,85.0,144,200.0
01/08/2001,667.0,125.0,104.0,81.0,146,211.0
01/09/2001,733.0,172.0,125.0,78.0,137,221.0
01/10/2001,649.0,140.0,87.0,70.0,141,213.0
01/11/2001,607.0,101.0,74.0,81.0,145,206.0
01/12/2001,549.0,119.0,73.0,60.0,117,179.0
01/01/2002,531.0,113.0,78.0,60.0,111,169.0
01/02/2002,627.0,118.0,93.0,89.0,139,189.0
01/03/2002,608.0,128.0,93.0,70.0,130,187.0
01/04/2002,597.0,132.0,93.0,70.0,116,186.0
01/05/2002,620.0,134.0,83.0,66.0,134,203.0
01/06/2002,642.0,136.0,97.0,86.0,131,191.0
01/07/2002,603.0,127.0,78.0,75.0,128,195.0
01/08/2002,637.0,119.0,88.0,78.0,132,221.0
01/09/2002,666.0,115.0,105.0,75.0,133,239.0
01/10/2002,653.0,130.0,87.0,75.0,126,235.0
01/11/2002,613.0,103.0,87.0,75.0,138,210.0
01/12/2002,542.0,107.0,74.0,62.0,118,183.0
01/01/2003,521.0,105.0,66.0,72.0,107,172.0
01/02/2003,582.0,106.0,79.0,74.0,142,180.0
01/03/2003,585.0,95.0,96.0,81.0,123,190.0
01/04/2003,563.0,113.0,80.0,68.0,115,187.0
01/05/2003,605.0,130.0,80.0,75.0,132,188.0
01/06/2003,580.0,106.0,84.0,70.0,124,196.0
01/07/2003,569.0,92.0,83.0,76.0,118,200.0
01/08/2003,625.0,111.0,80.0,79.0,134,220.0
01/09/2003,659.0,115.0,95.0,75.0,129,245.0
01/10/2003,654.0,110.0,87.0,81.0,127,249.0
01/11/2003,624.0,90.0,82.0,80.0,133,239.0
01/12/2003,565.0,103.0,74.0,62.0,120,205.0
01/01/2004,524.0,90.0,61.0,66.0,109,198.0
01/02/2004,622.0,108.0,88.0,77.0,139,210.0
01/03/2004,633.0,114.0,94.0,79.0,125,221.0
01/04/2004,610.0,110.0,77.0,72.0,133,217.0
01/05/2004,657.0,104.0,89.0,88.0,150,225.0
01/06/2004,668.0,133.0,96.0,82.0,129,227.0
01/07/2004,669.0,130.0,81.0,85.0,137,236.0
01/08/2004,672.0,104.0,87.0,83.0,143,255.0
01/09/2004,697.0,126.0,97.0,88.0,126,259.0
01/10/2004,717.0,144.0,82.0,85.0,140,266.0
01/11/2004,660.0,103.0,78.0,86.0,145,248.0
01/12/2004,606.0,106.0,78.0,74.0,125,223.0
01/01/2005,591.0,93.0,75.0,78.0,122,223.0
01/02/2005,629.0,90.0,82.0,74.0,145,238.0
