Mon,All vacancies1 ,Mining & quarrying,Manu-    facturing,"Electricity, gas, steam & air conditioning supply2","Water supply, sewerage, waste & remediation activities2",Construc-tion,Motor Trades,Wholesale,Retail,Transport & storage,Accommodation & food service activities,Information & communica-tion,Financial & insurance activities,Real estate activities2,Professional scientific & technical activities,Administra-tive & support service activities,Public admin & defence; compulsory social security,Education,Human health & social work activities2,"Arts, entertainment & recreation2",Other service activities
01/05/2001,689,2,80,2,3,39,12,27,81,25,62,50,32,6,55,40,18,36,78,20,21
01/06/2001,692,2,84,2,2,29,12,24,96,30,60,52,28,8,60,44,18,33,80,15,16
01/07/2001,670,1,68,2,2,35,7,26,91,25,62,46,32,6,49,36,16,35,91,17,19
01/08/2001,667,2,77,4,3,27,9,30,93,42,55,47,25,4,54,40,15,28,82,14,15
01/09/2001,733,1,78,2,3,36,14,24,91,45,79,51,30,6,58,43,15,33,86,17,18
01/10/2001,649,1,63,2,2,28,10,24,113,25,55,42,32,6,47,35,16,35,85,13,15
01/11/2001,607,1,71,2,2,21,12,23,112,20,51,41,27,5,44,32,18,31,70,12,14
01/12/2001,549,1,49,2,2,19,9,19,75,26,47,37,24,4,44,32,16,31,84,13,14
01/01/2002,531,2,58,2,2,18,6,32,75,21,43,36,25,5,36,27,14,27,80,11,12
01/02/2002,627,1,69,2,3,28,11,22,92,22,54,44,26,5,43,31,16,31,88,19,21
01/03/2002,608,1,56,2,2,28,8,23,78,24,61,45,25,7,49,36,16,38,79,15,16
01/04/2002,597,1,67,1,3,24,8,23,83,32,54,40,27,5,39,30,14,30,82,16,17
01/05/2002,620,1,68,1,2,25,11,18,81,27,59,46,26,7,47,35,15,34,88,13,14
01/06/2002,642,1,63,2,2,41,7,20,89,30,64,46,24,7,49,36,17,36,80,13,14
01/07/2002,603,1,74,2,3,25,8,23,88,31,39,47,25,6,37,28,17,36,79,16,18
01/08/2002,637,1,59,1,2,23,11,20,91,43,66,44,27,6,44,32,17,32,84,15,17
01/09/2002,666,1,62,1,2,29,12,26,117,46,62,41,24,7,42,32,19,38,79,12,13
